Date	Open	High	Low	Close	Adj Close	Volume
Jan 22, 2024	4,853.42	4,906.69	4,844.05	4,890.97	4,890.97	19,914,270,000
Jan 15, 2024	4,772.35	4,842.07	4,714.82	4,839.81	4,839.81	16,495,350,000
Jan 08, 2024	4,703.70	4,802.40	4,699.82	4,783.83	4,783.83	18,017,190,000
Jan 01, 2024	4,745.20	4,754.33	4,682.11	4,697.24	4,697.24	15,253,660,000
Dec 25, 2023	4,758.86	4,793.30	4,751.99	4,769.83	4,769.83	11,087,280,000
Dec 18, 2023	4,725.58	4,778.01	4,697.82	4,754.63	4,754.63	18,766,580,000
Dec 11, 2023	4,593.39	4,738.57	4,593.39	4,719.19	4,719.19	27,228,260,000
Dec 04, 2023	4,564.37	4,609.23	4,546.50	4,604.37	4,604.37	20,051,430,000
Nov 27, 2023	4,554.86	4,599.39	4,537.24	4,594.63	4,594.63	21,205,410,000
Nov 20, 2023	4,511.70	4,568.43	4,510.36	4,559.34	4,559.34	11,838,180,000
Nov 13, 2023	4,406.66	4,521.17	4,393.82	4,514.02	4,514.02	20,115,520,000
Nov 06, 2023	4,364.27	4,418.03	4,343.94	4,415.24	4,415.24	18,742,940,000
Oct 29, 2023	4,139.39	4,373.62	4,132.94	4,358.34	4,358.34	21,626,250,000
Oct 22, 2023	4,210.40	4,259.38	4,103.78	4,117.37	4,117.37	19,764,430,000
Oct 15, 2023	4,342.37	4,393.57	4,223.03	4,224.16	4,224.16	18,864,600,000
Oct 08, 2023	4,289.02	4,385.85	4,283.79	4,327.78	4,327.78	17,576,230,000
Oct 01, 2023	4,284.52	4,324.10	4,216.45	4,308.50	4,308.50	19,153,590,000
Sep 24, 2023	4,310.62	4,338.51	4,238.63	4,288.05	4,288.05	18,256,060,000
Sep 17, 2023	4,445.13	4,466.36	4,316.49	4,320.06	4,320.06	17,096,470,000
Sep 10, 2023	4,480.98	4,511.99	4,447.21	4,450.32	4,450.32	20,916,040,000
Sep 03, 2023	4,510.06	4,514.29	4,430.46	4,457.49	4,457.49	13,968,150,000
Aug 27, 2023	4,426.03	4,541.25	4,414.98	4,515.77	4,515.77	16,568,780,000
Aug 20, 2023	4,380.28	4,458.30	4,356.29	4,405.71	4,405.71	18,106,530,000
Aug 13, 2023	4,458.13	4,490.33	4,335.31	4,369.71	4,369.71	19,366,670,000
Aug 06, 2023	4,491.58	4,527.37	4,443.98	4,464.05	4,464.05	19,439,590,000
Jul 30, 2023	4,584.82	4,594.22	4,474.55	4,478.03	4,478.03	21,109,110,000
Jul 23, 2023	4,543.39	4,607.07	4,528.56	4,582.23	4,582.23	20,193,230,000
Jul 16, 2023	4,508.86	4,578.43	4,504.90	4,536.34	4,536.34	19,075,880,000
Jul 09, 2023	4,394.23	4,527.76	4,389.92	4,505.42	4,505.42	18,461,090,000
Jul 02, 2023	4,450.48	4,456.46	4,385.05	4,398.95	4,398.95	12,829,400,000
