Date,Open,High,Low,Close,Adj Close,Volume
"Jan 22, 2024",4853.42,4906.69,4844.05,4890.97,4890.97,19914270000
"Jan 15, 2024",4772.35,4842.07,4714.82,4839.81,4839.81,16495350000
"Jan 08, 2024",4703.7,4802.4,4699.82,4783.83,4783.83,18017190000
"Jan 01, 2024",4745.2,4754.33,4682.11,4697.24,4697.24,15253660000
"Dec 25, 2023",4758.86,4793.3,4751.99,4769.83,4769.83,11087280000
"Dec 18, 2023",4725.58,4778.01,4697.82,4754.63,4754.63,18766580000
"Dec 11, 2023",4593.39,4738.57,4593.39,4719.19,4719.19,27228260000
"Dec 04, 2023",4564.37,4609.23,4546.5,4604.37,4604.37,20051430000
"Nov 27, 2023",4554.86,4599.39,4537.24,4594.63,4594.63,21205410000
"Nov 20, 2023",4511.7,4568.43,4510.36,4559.34,4559.34,11838180000
"Nov 13, 2023",4406.66,4521.17,4393.82,4514.02,4514.02,20115520000
"Nov 06, 2023",4364.27,4418.03,4343.94,4415.24,4415.24,18742940000
"Oct 29, 2023",4139.39,4373.62,4132.94,4358.34,4358.34,21626250000
"Oct 22, 2023",4210.4,4259.38,4103.78,4117.37,4117.37,19764430000
"Oct 15, 2023",4342.37,4393.57,4223.03,4224.16,4224.16,18864600000
"Oct 08, 2023",4289.02,4385.85,4283.79,4327.78,4327.78,17576230000
"Oct 01, 2023",4284.52,4324.1,4216.45,4308.5,4308.5,19153590000
"Sep 24, 2023",4310.62,4338.51,4238.63,4288.05,4288.05,18256060000
"Sep 17, 2023",4445.13,4466.36,4316.49,4320.06,4320.06,17096470000
"Sep 10, 2023",4480.98,4511.99,4447.21,4450.32,4450.32,20916040000
"Sep 03, 2023",4510.06,4514.29,4430.46,4457.49,4457.49,13968150000
"Aug 27, 2023",4426.03,4541.25,4414.98,4515.77,4515.77,16568780000
"Aug 20, 2023",4380.28,4458.3,4356.29,4405.71,4405.71,18106530000
"Aug 13, 2023",4458.13,4490.33,4335.31,4369.71,4369.71,19366670000
"Aug 06, 2023",4491.58,4527.37,4443.98,4464.05,4464.05,19439590000
"Jul 30, 2023",4584.82,4594.22,4474.55,4478.03,4478.03,21109110000
"Jul 23, 2023",4543.39,4607.07,4528.56,4582.23,4582.23,20193230000
"Jul 16, 2023",4508.86,4578.43,4504.9,4536.34,4536.34,19075880000
"Jul 09, 2023",4394.23,4527.76,4389.92,4505.42,4505.42,18461090000
"Jul 02, 2023",4450.48,4456.46,4385.05,4398.95,4398.95,12829400000
"Jun 25, 2023",4344.84,4458.48,4328.08,4450.38,4450.38,18347970000
"Jun 18, 2023",4396.11,4400.15,4341.34,4348.33,4348.33,17329740000
"Jun 11, 2023",4308.32,4448.47,4304.37,4409.59,4409.59,23498470000
"Jun 04, 2023",4282.99,4322.62,4261.07,4298.86,4298.86,19960900000
"May 28, 2023",4226.71,4290.67,4166.15,4282.37,4282.37,19055240000
"May 21, 2023",4190.78,4212.87,4103.98,4205.45,4205.45,19486220000
